CENTER_NAME,name,LATITUDE,LONGITUDE,URL,,,,,
A' Precious Angel Daycare,A' Precious Angel Daycare,35.9697609,-78.83257374,https://childcarecenter.us/provider_detail/a_precious_angel_daycare_durham_nc,,,,,
A Brilliant Beginning,A Brilliant Beginning,35.96990101,-78.92258137,https://www.wonderschool.com/nc/durham/a-brilliant-beginning-daycare-llc-6314,,,,,
A Child's Vision,A Child's Vision,35.92940788,-78.82133067,https://childcarecenter.us/provider_detail/a_childs_vision_durham_nc,,,,,
Academy of Stars,Academy of Stars,35.99437421,-78.87818467,https://childcarecenter.us/provider_detail/academy_of_stars_durham_nc,,,,,
Alice in Wonderland Childcare Center,Alice in Wonderland Childcare Center,35.94088772,-78.84002115,https://childcarecenter.us/provider_detail/alice_in_wonderland_childcare_center_durham_nc,,,,,
All My Children Child Care Center II,All My Children Child Care Center II,35.97036994,-78.94264944,https://www.allmychildrennc.com,,,,,
Ameenah's Learning Center,Ameenah's Learning Center,35.89354904,-78.90836023,https://childcarecenter.us/provider_detail/ameenahs_learning_center_durham_nc,,,,,
Angel Family Home Daycare,Angel Family Home Daycare,35.88904912,-78.92129755,https://www.angelhomedaycare.com,,,,,
Angie's Angels Daycare Center,Angie's Angels Daycare Center,35.93857233,-78.83307006,https://childcarecenter.us/provider_detail/angies_angels_daycare_center_durham_nc,,,,,
Art Bee Home Day Care,Art Bee Home Day Care,35.92957129,-78.89614365,https://childcarecenter.us/provider_detail/art_bee_home_daycare_durham_nc,,,,,
Young Explorers at United Therapeutics,Young Explorers at United Therapeutics,35.99413739,-78.97319186,https://childcarecenter.us/provider_detail/young_explorers_at_united_therapeutics_research_triangle_nc,,,,,
Wondertots Learning Academy,Wondertots Learning Academy,35.97112326,-78.8969663,https://childcarecenter.us/provider_detail/wondertots-learning-academy-durham-nc,,,,,
Wonder Kids Home Day Care,Wonder Kids Home Day Care,35.94023054,-78.92305492,https://childcarecenter.us/provider_detail/wonder_kids_home_day_care_durham_nc,,,,,
Wee Wisdom Preschool,Wee Wisdom Preschool,36.00243763,-78.88072406,https://www.daycare.com/php/showlisting.php?ID=00209371&p=0,,,,,
Visijland Spanish Immersion Family Home Day Care,Visijland Spanish Immersion Family Home Day Care,35.88647223,-78.90226759,https://childcarecenter.us/provider_detail/visijland_spanish_immersion_family_home_day_care_durham_nc,,,,,
Virginia Lindsay,Virginia Lindsay,35.96465607,-78.8868423,https://www.daycare.com/php/showlisting.php?ID=00209578&p=0,,,,,
Vanessa Robinson's Day Care Home,Vanessa Robinson's Day Care Home,35.94925339,-78.91236845,https://www.care.com/b/l/vanessa-robinson-s-day-care-home/durham-nc,,,,,
True Colors In Home Day Care,True Colors In Home Day Care,35.99037727,-78.81019723,https://childcarecenter.us/provider_detail/true-colors-in-home-day-care-durham-nc,,,,,
Treasureable Moments Early Learning Program,Treasureable Moments Early Learning Program,35.93796133,-78.91893275,https://childcarecenter.us/provider_detail/treasurable_moments_early_learning_program_durham_nc,,,,,
Think Child Care Center,Think Child Care Center,35.9491386,-78.91854798,https://childcarecenter.us/provider_detail/think_child_care_center_durham_nc,,,,,
